group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
String,Bench VarsOs::apply(string).,,,,1017218.0,ns,4
String,Bench VarsOs::apply(string).,,,,2073907.0,ns,8
String,Bench VarsOs::apply(string).,,,,2998428.0,ns,12
String,Bench VarsOs::apply(string).,,,,3914579.0,ns,16
String,Bench VarsOs::apply(string).,,,,5006669.0,ns,20
String,Bench VarsOs::apply(string).,,,,6507974.0,ns,24
String,Bench VarsOs::apply(string).,,,,7019350.0,ns,28
String,Bench VarsOs::apply(string).,,,,13050058.0,ns,32
String,Bench VarsOs::apply(string).,,,,8772809.0,ns,36
String,Bench VarsOs::apply(string).,,,,9713866.0,ns,40
String,Bench VarsOs::apply(string).,,,,10668080.0,ns,44
String,Bench VarsOs::apply(string).,,,,11739268.0,ns,48
String,Bench VarsOs::apply(string).,,,,12641986.0,ns,52
String,Bench VarsOs::apply(string).,,,,13565922.0,ns,56
String,Bench VarsOs::apply(string).,,,,14563097.0,ns,60
String,Bench VarsOs::apply(string).,,,,15443783.0,ns,64
String,Bench VarsOs::apply(string).,,,,16452727.0,ns,68
String,Bench VarsOs::apply(string).,,,,17397550.0,ns,72
String,Bench VarsOs::apply(string).,,,,18384568.0,ns,76
String,Bench VarsOs::apply(string).,,,,19477924.0,ns,80
String,Bench VarsOs::apply(string).,,,,21544906.0,ns,84
String,Bench VarsOs::apply(string).,,,,21992185.0,ns,88
String,Bench VarsOs::apply(string).,,,,23138583.0,ns,92
String,Bench VarsOs::apply(string).,,,,24070027.0,ns,96
String,Bench VarsOs::apply(string).,,,,24396302.0,ns,100
String,Bench VarsOs::apply(string).,,,,25234288.0,ns,104
String,Bench VarsOs::apply(string).,,,,26902357.0,ns,108
String,Bench VarsOs::apply(string).,,,,28146561.0,ns,112
String,Bench VarsOs::apply(string).,,,,28940718.0,ns,116
String,Bench VarsOs::apply(string).,,,,30079050.0,ns,120
String,Bench VarsOs::apply(string).,,,,31284358.0,ns,124
String,Bench VarsOs::apply(string).,,,,31496192.0,ns,128
String,Bench VarsOs::apply(string).,,,,32047536.0,ns,132
String,Bench VarsOs::apply(string).,,,,34665333.0,ns,136
String,Bench VarsOs::apply(string).,,,,35852968.0,ns,140
String,Bench VarsOs::apply(string).,,,,35885372.0,ns,144
String,Bench VarsOs::apply(string).,,,,36241417.0,ns,148
String,Bench VarsOs::apply(string).,,,,36992055.0,ns,152
String,Bench VarsOs::apply(string).,,,,37905574.0,ns,156
String,Bench VarsOs::apply(string).,,,,38889675.0,ns,160
String,Bench VarsOs::apply(string).,,,,39874566.0,ns,164
String,Bench VarsOs::apply(string).,,,,40856746.0,ns,168
String,Bench VarsOs::apply(string).,,,,42017093.0,ns,172
String,Bench VarsOs::apply(string).,,,,42724850.0,ns,176
String,Bench VarsOs::apply(string).,,,,43996610.0,ns,180
String,Bench VarsOs::apply(string).,,,,44733418.0,ns,184
String,Bench VarsOs::apply(string).,,,,47423922.0,ns,188
String,Bench VarsOs::apply(string).,,,,47353400.0,ns,192
String,Bench VarsOs::apply(string).,,,,47924135.0,ns,196
String,Bench VarsOs::apply(string).,,,,48636196.0,ns,200
String,Bench VarsOs::apply(string).,,,,49763007.0,ns,204
String,Bench VarsOs::apply(string).,,,,50379595.0,ns,208
String,Bench VarsOs::apply(string).,,,,51447848.0,ns,212
String,Bench VarsOs::apply(string).,,,,58292547.0,ns,216
String,Bench VarsOs::apply(string).,,,,60546401.0,ns,220
String,Bench VarsOs::apply(string).,,,,55266339.0,ns,224
String,Bench VarsOs::apply(string).,,,,80069440.0,ns,228
String,Bench VarsOs::apply(string).,,,,91158246.0,ns,232
String,Bench VarsOs::apply(string).,,,,82381359.0,ns,236
String,Bench VarsOs::apply(string).,,,,88573379.0,ns,240
String,Bench VarsOs::apply(string).,,,,78704149.0,ns,244
String,Bench VarsOs::apply(string).,,,,68235004.0,ns,248
String,Bench VarsOs::apply(string).,,,,65373630.0,ns,252
String,Bench VarsOs::apply(string).,,,,65146923.0,ns,256
String,Bench VarsOs::apply(string).,,,,67899741.0,ns,260
String,Bench VarsOs::apply(string).,,,,65900836.0,ns,264
String,Bench VarsOs::apply(string).,,,,66211299.0,ns,268
String,Bench VarsOs::apply(string).,,,,66234394.0,ns,272
String,Bench VarsOs::apply(string).,,,,67090431.0,ns,276
String,Bench VarsOs::apply(string).,,,,68066063.0,ns,280
String,Bench VarsOs::apply(string).,,,,69732134.0,ns,284
String,Bench VarsOs::apply(string).,,,,69923840.0,ns,288
String,Bench VarsOs::apply(string).,,,,70919751.0,ns,292
String,Bench VarsOs::apply(string).,,,,72042158.0,ns,296
String,Bench VarsOs::apply(string).,,,,72620224.0,ns,300
String,Bench VarsOs::apply(string).,,,,75423322.0,ns,304
String,Bench VarsOs::apply(string).,,,,85377852.0,ns,308
String,Bench VarsOs::apply(string).,,,,95420413.0,ns,312
String,Bench VarsOs::apply(string).,,,,83951924.0,ns,316
String,Bench VarsOs::apply(string).,,,,84627546.0,ns,320
String,Bench VarsOs::apply(string).,,,,88885951.0,ns,324
String,Bench VarsOs::apply(string).,,,,83257399.0,ns,328
String,Bench VarsOs::apply(string).,,,,89753969.0,ns,332
String,Bench VarsOs::apply(string).,,,,82420225.0,ns,336
String,Bench VarsOs::apply(string).,,,,82571870.0,ns,340
String,Bench VarsOs::apply(string).,,,,84369875.0,ns,344
String,Bench VarsOs::apply(string).,,,,84798524.0,ns,348
String,Bench VarsOs::apply(string).,,,,85834328.0,ns,352
String,Bench VarsOs::apply(string).,,,,86237790.0,ns,356
String,Bench VarsOs::apply(string).,,,,87188561.0,ns,360
String,Bench VarsOs::apply(string).,,,,88236980.0,ns,364
String,Bench VarsOs::apply(string).,,,,90392440.0,ns,368
String,Bench VarsOs::apply(string).,,,,90395202.0,ns,372
String,Bench VarsOs::apply(string).,,,,91108220.0,ns,376
String,Bench VarsOs::apply(string).,,,,94907836.0,ns,380
String,Bench VarsOs::apply(string).,,,,97769762.0,ns,384
String,Bench VarsOs::apply(string).,,,,99223967.0,ns,388
String,Bench VarsOs::apply(string).,,,,96504485.0,ns,392
String,Bench VarsOs::apply(string).,,,,97575757.0,ns,396
String,Bench VarsOs::apply(string).,,,,96937099.0,ns,400
